title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
When a Man Loves a Woman,0.0,50021959.0,4.322544,1994-04-29,,,
Wolf,0.0,0.0,14.063845,1994-06-17,8.1,80.0,
Wyatt Earp,63000000.0,25052000.0,9.277147,1994-06-24,,,
Bad Company,0.0,0.0,0.912415,1995-01-20,,,
A Man of No Importance,0.0,953.0,0.406113,1994-12-22,,,
S.F.W.,0.0,0.0,2.504529,1994-09-15,,,
A Low Down Dirty Shame,10000000.0,29392418.0,3.021526,1994-11-23,,,
"Boys Life: Three Stories of Love, Lust, and Liberation",0.0,0.0,0.054148,1994-09-30,,,
Colonel Chabert,0.0,0.0,0.934312,1994-01-01,,,
"Faster, Pussycat! Kill! Kill!",45000.0,0.0,4.220541,1965-08-06,,,
Jason's Lyric,7000000.0,20851521.0,0.912909,1994-09-28,,,
The Secret Adventures of Tom Thumb,0.0,0.0,0.381704,1993-12-10,,,
Street Fighter,35000000.0,99423521.0,13.58449,1994-12-22,,,
Coldblooded,0.0,0.0,2.342756,1995-09-15,,,
Desert Winds,0.0,0.0,0.251223,1997-12-31,,,
Fall Time,0.0,0.0,1.108494,1995-05-13,,,
The Fear,0.0,0.0,0.268043,1995-01-20,,,
Frank and Ollie,0.0,0.0,0.142357,1995-10-20,,,
Girl in the Cadillac,0.0,0.0,0.405392,1995-10-24,,,
Homage,0.0,0.0,0.014925,1995-05-03,,,
Mirage,0.0,0.0,0.302957,1995-11-21,7.4,129.0,
Open Season,0.0,0.0,0.012456,1996-05-03,,,
Dos Crímenes,0.0,0.0,0.233376,1995-05-26,,,
Brother Minister: The Assassination of Malcolm X,0.0,0.0,0.0368,1995-03-01,,,
Highlander: The Final Dimension,26000000.0,36800000.0,6.866634,1994-11-29,,,
Federal Hill,0.0,0.0,0.100685,1995-02-24,,,
In the Mouth of Madness,8000000.0,8946600.0,8.497643,1994-12-12,,,
8 Seconds,0.0,0.0,1.888534,1994-02-25,,,
Above the Rim,0.0,0.0,4.38154,1994-03-23,,,
Addams Family Values,0.0,48919043.0,17.555909,1993-11-19,,,
Martin Lawrence: You So Crazy,0.0,0.0,0.394194,1994-04-27,,,
The Age of Innocence,34000000.0,32255440.0,8.013617,1993-09-17,,,
